station_id,station_name,station_city,latitude,longitude,station_capacity
2,Buckingham Fountain,Chicago,41.876393,-87.620328,27
3,Shedd Aquarium,Chicago,41.86722596,-87.61535539,55
4,Burnham Harbor,Chicago,41.856268,-87.613348,23
5,State St & Harrison St,Chicago,41.874053,-87.627716,23
6,Dusable Harbor,Chicago,41.885041,-87.612794,39
7,Field Blvd & South Water St,Chicago,41.88634906,-87.61751655,19
9,Leavitt St & Archer Ave,Chicago,41.82879202,-87.68060446,19
11,Jeffery Blvd & 71st St,Chicago,41.76663824,-87.57645011,11
12,South Shore Dr & 71st St,Chicago,41.76640946,-87.56568757,15
13,Wilton Ave & Diversey Pkwy,Chicago,41.932418,-87.652705,27
14,Morgan St & 18th St,Chicago,41.858086,-87.651073,15
15,Racine Ave & 18th St,Chicago,41.858166,-87.656495,15
16,Paulina Ave & North Ave,Chicago,41.910337,-87.670072,15
17,Honore St & Division St,Chicago,41.903119,-87.673935,23
18,Wacker Dr & Washington St,Chicago,41.883132,-87.637321,19
19,Loomis St & Taylor St (*),Chicago,41.869417,-87.660996,16
20,Sheffield Ave & Kingsbury St,Chicago,41.910522,-87.653106,15
21,Aberdeen St & Jackson Blvd,Chicago,41.87772613,-87.65478743,15
22,May St & Taylor St,Chicago,41.8694821,-87.6554864,15
23,Orleans St & Elm St (*),Chicago,41.902924,-87.637715,16
24,Fairbanks Ct & Grand Ave,Chicago,41.89186,-87.62062,15
25,Michigan Ave & Pearson St,Chicago,41.89766,-87.62351,23
26,McClurg Ct & Illinois St,Chicago,41.890359,-87.617532,31
27,Larrabee St & North Ave,Chicago,41.91021,-87.6435,19
28,Larrabee St & Menomonee St,Chicago,41.91468,-87.64332,15
29,Noble St & Milwaukee Ave,Chicago,41.90068,-87.6626,15
30,Ashland Ave & Augusta Blvd,Chicago,41.899643,-87.6677,15
31,Franklin St & Chicago Ave,Chicago,41.896776,-87.635633,23
32,Racine Ave & Congress Pkwy,Chicago,41.87464,-87.65703,19
33,State St & Van Buren St,Chicago,41.877181,-87.627844,27
34,Cannon Dr & Fullerton Ave,Chicago,41.92675599,-87.63442878,15
35,Streeter Dr & Grand Ave,Chicago,41.892278,-87.612043,47
36,Franklin St & Jackson Blvd,Chicago,41.87770796,-87.63532114,39
37,Dearborn St & Adams St,Chicago,41.87935636,-87.62979104,19
38,Clark St & Lake St,Chicago,41.88602083,-87.63087606,27
39,Wabash Ave & Adams St,Chicago,41.87947235,-87.62568861,23
40,LaSalle St & Adams St,Chicago,41.87934437,-87.63198522,15
41,Federal St & Polk St,Chicago,41.87207763,-87.62954377,19
42,Wabash Ave & Cermak Rd,Chicago,41.852619,-87.626488,11
43,Michigan Ave & Washington St,Chicago,41.88389277,-87.62464914,43
44,State St & Randolph St,Chicago,41.8847302,-87.62773357,27
45,Michigan Ave & Congress Pkwy,Chicago,41.876243,-87.624426,15
46,Wells St & Walton St,Chicago,41.89993001,-87.63443007,19
47,State St & Kinzie St,Chicago,41.889187,-87.627754,31
48,Larrabee St & Kingsbury St,Chicago,41.897764,-87.642884,39
49,Dearborn St & Monroe St,Chicago,41.88131982,-87.62952092,39
50,Clark St & Congress Pkwy,Chicago,41.87593267,-87.63058454,27
51,Clark St & Randolph St,Chicago,41.88457623,-87.63188991,39
52,Michigan Ave & Lake St,Chicago,41.886024,-87.624117,31
53,LaSalle (Wells) St & Huron St,Chicago,41.894882,-87.632326,27
54,Ogden Ave & Chicago Ave,Chicago,41.89636246,-87.65406127,19
55,Halsted St & Roosevelt Rd,Chicago,41.867324,-87.648625,23
56,Desplaines St & Kinzie St,Chicago,41.88871604,-87.64444785,27
57,Clinton St & Roosevelt Rd,Chicago,41.86711778,-87.64108796,15
58,Marshfield Ave & Cortland St,Chicago,41.916017,-87.668879,23
59,Wabash Ave & Roosevelt Rd,Chicago,41.867227,-87.625961,23
60,Dayton St & North Ave,Chicago,41.91057803,-87.64942193,19
61,Wood St & Milwaukee Ave,Chicago,41.907655,-87.672552,19
62,McCormick Place,Chicago,41.85137517,-87.61883465,27
66,Clinton St & Lake St,Chicago,41.885637,-87.641823,23
67,Sheffield Ave & Fullerton Ave,Chicago,41.92560188,-87.65370804,19
68,Clinton St & Tilden St,Chicago,41.875885,-87.640795,23
69,Damen Ave & Pierce Ave,Chicago,41.90939601,-87.67769193,19
71,Morgan St & Lake St,Chicago,41.88548331,-87.65230486,23
72,Wabash Ave & 16th St,Chicago,41.860384,-87.625813,39
73,Jefferson St & Monroe St,Chicago,41.880422,-87.642746,19
74,Kingsbury St & Erie St,Chicago,41.893882,-87.641711,23
75,Canal St & Jackson Blvd,Chicago,41.877245,-87.639366,31
76,Lake Shore Dr & Monroe St,Chicago,41.880958,-87.616743,39
77,Clinton St & Madison St,Chicago,41.882242,-87.641066,31
80,Aberdeen St & Monroe St,Chicago,41.880419,-87.655519,19
81,Daley Center Plaza,Chicago,41.884241,-87.629634,39
84,Milwaukee Ave & Grand Ave,Chicago,41.891578,-87.648384,19
85,Michigan Ave & Oak St,Chicago,41.90096039,-87.62377664,23
86,Eckhart Park,Chicago,41.89637337,-87.66098386,19
87,Racine Ave & Fullerton Ave,Chicago,41.92556258,-87.65840426,19
88,Racine Ave & Randolph St,Chicago,41.884069,-87.656853,19
89,Financial Pl & Congress Pkwy,Chicago,41.87500913,-87.63310582,31
90,Millennium Park,Chicago,41.8810317,-87.62408432,47
91,Clinton St & Washington Blvd,Chicago,41.88338,-87.64117,31
92,Carpenter St & Huron St,Chicago,41.894556,-87.653449,19
93,Sheffield Ave & Willow St,Chicago,41.913688,-87.652855,15
94,Clark St & Armitage Ave,Chicago,41.918306,-87.636282,31
95,Stony Island Ave & 64th St,Chicago,41.77870057,-87.58678762,15
96,Desplaines St & Randolph St,Chicago,41.88461619,-87.64457058,23
97,Field Museum,Chicago,41.865312,-87.617867,55
98,LaSalle St & Washington St,Chicago,41.882664,-87.63253,15
99,Lake Shore Dr & Ohio St,Chicago,41.89257,-87.614492,19
100,Orleans St & Merchandise Mart Plaza,Chicago,41.888243,-87.63639,35
101,63rd St Beach,Chicago,41.78101637,-87.57611976,23
102,Stony Island Ave & 67th St,Chicago,41.7734585,-87.58533974,11
103,Clinton St & Polk St (*),Chicago,41.87146652,-87.64094913,16
106,State St & Pearson St,Chicago,41.897448,-87.628722,27
107,Desplaines St & Jackson Blvd,Chicago,41.878287,-87.643909,27
108,Halsted St & Polk St,Chicago,41.87184,-87.64664,19
109,900 W Harrison St,Chicago,41.874754,-87.649807,19
110,Dearborn St & Erie St,Chicago,41.893992,-87.629318,23
111,Sedgwick St & Huron St,Chicago,41.894666,-87.638437,19
112,Green St & Randolph St,Chicago ,41.883668,-87.64867,15
113,Bissell St & Armitage Ave,Chicago ,41.91844,-87.65222,15
114,Sheffield Ave & Waveland Ave,Chicago,41.949399,-87.654529,27
115,Sheffield Ave & Wellington Ave,Chicago,41.936266,-87.652662,23
116,Western Ave & Winnebago Ave,Chicago,41.91552,-87.687022,15
117,Wilton Ave & Belmont Ave,Chicago,41.94018,-87.65304,23
118,Sedgwick St & North Ave,Chicago,41.911386,-87.638677,19
119,Ashland Ave & Lake St,Chicago,41.88541,-87.66732,19
120,Wentworth Ave & Archer Ave,Chicago,41.853605,-87.631886,23
121,Blackstone Ave & Hyde Park Blvd,Chicago,41.802562,-87.590368,19
122,Ogden Ave & Congress Pkwy,Chicago,41.87501,-87.67328,15
123,California Ave & Milwaukee Ave,Chicago,41.922695,-87.697153,15
124,Damen Ave & Cullerton St,Chicago,41.855048,-87.675726,15
125,Rush St & Hubbard St,Chicago,41.890173,-87.626185,23
126,Clark St & North Ave,Chicago ,41.911974,-87.631942,15
127,Lincoln Ave & Fullerton Ave,Chicago ,41.925905,-87.64926,15
