userId,startedAt,endedAt,startedLocationLat,startedLocationLong,endedLocationLat,endedLocationLong
ME4N66udu5s7pzGrD9OwIjFzFcs00ViTvzopHYRuuXo=,2019-05-01 13:20:02.143 UTC,2019-05-01 13:26:19.258 UTC,37.7945,-122.3927,37.7846,-122.3957
gQUsX6t5hdBQ9S8UxeEnLGOQZtOXoNx7MiYZG3yWyz0=,2019-05-01 13:43:56.588 UTC,2019-05-01 13:53:55.455 UTC,37.7615,-122.4244,37.7664,-122.4093
mSXjvoz49qLMsh25aRrOMBQL4bfC/X7FDejzDNnWzcM=,2019-05-01 13:45:12.178 UTC,2019-05-01 13:58:05.008 UTC,37.7974,-122.4338,37.7899,-122.4024
J8qNzFJbGXtrcMBmAbs/wL8PDmhJLJxb9n7PALQ260A=,2019-05-01 13:53:06.245 UTC,2019-05-01 14:02:28.597 UTC,37.7697,-122.4261,37.7512,-122.4381
srl4T6XMJ30PhdB1mN0NOCbJpSNMAUNdUavPugLyuV8=,2019-05-01 13:56:02.259 UTC,2019-05-01 14:00:52.349 UTC,37.7818,-122.4054,37.7762,-122.3978
D04dZJFQYR11z9J/11NkbObnB7r2Rpxn9mp8PSX4a/8=,2019-05-01 14:12:40.776 UTC,2019-05-01 14:20:33.561 UTC,37.7944,-122.3929,37.7775,-122.3908
mgcryKrH6N7Lnq5TGU2ngl6bT4SJllN9L4I2SU+sx68=,2019-05-01 14:26:28.995 UTC,2019-05-01 14:30:36.226 UTC,37.7836,-122.3997,37.7887,-122.4024
2SIP79U90tuL25TDcj/TXsGshZsHOg1Yo1mjj3sWp0s=,2019-05-01 14:29:33.293 UTC,2019-05-01 14:34:13.048 UTC,37.7959,-122.3944,37.7898,-122.4031
HllYK0M+DQMIp2vDCSFHwDT7CRlorj+JRC3XgNY5fgM=,2019-05-01 14:29:34.239 UTC,2019-05-01 14:40:25.661 UTC,37.7993,-122.4224,37.7952,-122.3968
bdv2Zrh6Cak/9t6mO/5CnjMmkBd6RZpJy0D+DBslgNA=,2019-05-01 14:32:22.269 UTC,2019-05-01 14:36:18.118 UTC,37.7575,-122.4209,37.7589,-122.4148
CnpdLWR0FCcvXdfsz2z4tq5usDNxqUHvOYrIMAM4+E4=,2019-05-01 14:34:09.387 UTC,2019-05-01 14:42:23.571 UTC,37.7957,-122.3941,37.808,-122.4179
N9r4ZQwKZXU+4wADvfXhd6J7QoE/BuWnqxFFHdzGwjg=,2019-05-01 14:37:17.054 UTC,2019-05-01 14:45:52.350 UTC,37.7745,-122.4045,37.7768,-122.3951
BS51/B2echoEnM5r3MO+VfPv8xmJzr3rC85cvZIm+58=,2019-05-01 14:37:33.013 UTC,2019-05-01 14:49:39.885 UTC,37.7647,-122.4328,37.7751,-122.4516
D9CiY+DiVjRu/+FTqBWnSLgIEnugQKDliJ9yLjsu5tE=,2019-05-01 14:39:12.313 UTC,2019-05-01 14:45:29.264 UTC,37.8048,-122.4335,37.7992,-122.4475
SZlxflevXQX2ZbTlV2CEAn5LOE21bUCuy16uB+PoCuE=,2019-05-01 14:39:28.291 UTC,2019-05-01 14:46:04.804 UTC,37.7948,-122.3933,37.7805,-122.3907
RFSWHmbMLZVBs/Ry9huwvouDhjU9sJewxZYhVXwQuNE=,2019-05-01 14:41:28.233 UTC,2019-05-01 14:45:22.050 UTC,37.7685,-122.427,37.7768,-122.417
SmT0hR7ZZ/dqOCjOQa5JSKma5UH5oEt2pKRz8EWbsWI=,2019-05-01 14:50:07.479 UTC,2019-05-01 15:06:30.458 UTC,37.7981,-122.4272,37.7865,-122.397
HYwUgSwK/qBnyDttvwZU/mKbwrmLMFjmq5R7j1xThyU=,2019-05-01 14:52:02.551 UTC,2019-05-01 14:58:01.618 UTC,37.7674,-122.3964,37.7759,-122.3967
Cm5CPs4UA65rMexVVw15uKIdHjvWkn0nUrVqu2TKbIg=,2019-05-01 14:53:05.663 UTC,2019-05-01 14:56:32.303 UTC,37.79,-122.4028,37.7846,-122.3998
LhiSr8nx25deB6oaLvSyuIQjmiq0UAY4flULj/8P5nQ=,2019-05-01 15:00:52.279 UTC,2019-05-01 15:08:36.650 UTC,37.7777,-122.3942,37.7894,-122.4068
hIsc8PMgmacxej1rGJTtApRD5V7CL2fRKpRAzDZGJvw=,2019-05-01 15:07:19.691 UTC,2019-05-01 15:12:42.483 UTC,37.7906,-122.401,37.7818,-122.3922
v5GBxFLrlT7Agh7Scf47gAXBirIBYtfe6bt3uR/sSgg=,2019-05-01 15:10:15.993 UTC,2019-05-01 15:11:43.141 UTC,37.7832,-122.4379,37.7831,-122.4378
pakcK6vSBKkoR0tDgeT9tfaKK8PbMck8NVmw03tBTRU=,2019-05-01 15:13:01.023 UTC,2019-05-01 15:18:36.839 UTC,37.7768,-122.3953,37.7849,-122.3956
SJQUrBxQdaK2Dcae/nQOx2Q+AIZYDdRa562QI1UfL2U=,2019-05-01 15:13:17.790 UTC,2019-05-01 15:27:50.198 UTC,37.7972,-122.4222,37.8023,-122.4019
UFI0MSZ1qU9dlzek2t/O3f1CM4VgRyVXPxEYUKOhObI=,2019-05-01 15:21:32.340 UTC,2019-05-01 15:40:22.038 UTC,37.805,-122.4046,37.7774,-122.3955
G3zA/lDIC63b1urJfK+uB7RfokNgDaE8fhYLeQa1FQI=,2019-05-01 15:22:22.345 UTC,2019-05-01 15:29:36.295 UTC,37.7904,-122.4007,37.7826,-122.391
GS2h5wcwt3CXEPQjO1hlYrS+huQr2i9aDcSQ1vl4ADw=,2019-05-01 15:22:55.214 UTC,2019-05-01 15:31:42.842 UTC,37.7959,-122.3942,37.8039,-122.4016
rgLEC31j0RBmus0pugYpM93Y2s9niBhhPTi8AwkRuCA=,2019-05-01 15:23:59.082 UTC,2019-05-01 15:28:28.779 UTC,37.7664,-122.4304,37.7651,-122.4202
z9dW+2JYMuuBnyCv+myDQANNDAQbaA4vWI3qvbnkbrA=,2019-05-01 15:24:01.647 UTC,2019-05-01 15:29:50.449 UTC,37.7873,-122.3983,37.7835,-122.3923
