userId,startedAt,endedAt,sessionStartLat,sessionStartLong
RszZj+5p847pSUORz+hRleGr/qnoNRJSX6MQLstPMDs=,2019-05-01 11:04:02.993 UTC,2019-05-01 11:04:08.831 UTC,37.7909,-122.3996
RszZj+5p847pSUORz+hRleGr/qnoNRJSX6MQLstPMDs=,2019-05-01 11:57:17.673001 UTC,2019-05-01 11:57:40.499001 UTC,37.7909,-122.3996
9UpG/O99YJY2kh/9guVmnHoof/Y2MDf9QvUyfIlEnv0=,2019-05-01 12:29:27.267 UTC,2019-05-01 12:29:41.640002 UTC,37.7901,-122.3977
AdEfDxWhA7xfhpMQOLzKPl/ga2LvKHeECLdEMhdt75s=,2019-05-01 13:00:15.823 UTC,2019-05-01 13:00:31.620 UTC,37.7767,-122.4253
ME4N66udu5s7pzGrD9OwIjFzFcs00ViTvzopHYRuuXo=,2019-05-01 13:19:55.828 UTC,2019-05-01 13:26:27.650 UTC,37.7946,-122.3928
gQUsX6t5hdBQ9S8UxeEnLGOQZtOXoNx7MiYZG3yWyz0=,2019-05-01 13:29:55.958 UTC,2019-05-01 13:54:47.361 UTC,37.7656,-122.4196
SJQUrBxQdaK2Dcae/nQOx2Q+AIZYDdRa562QI1UfL2U=,2019-05-01 13:42:01.206 UTC,2019-05-01 13:57:16.412 UTC,37.7936,-122.4001
mSXjvoz49qLMsh25aRrOMBQL4bfC/X7FDejzDNnWzcM=,2019-05-01 13:42:05.747 UTC,2019-05-01 13:59:34.632 UTC,37.7954,-122.4333
J8qNzFJbGXtrcMBmAbs/wL8PDmhJLJxb9n7PALQ260A=,2019-05-01 13:47:34.748 UTC,2019-05-01 14:02:49.862 UTC,37.7727,-122.4255
srl4T6XMJ30PhdB1mN0NOCbJpSNMAUNdUavPugLyuV8=,2019-05-01 13:51:53.722 UTC,2019-05-01 14:01:01.199 UTC,37.7833,-122.4071
zyQjDjv4yuaGQhgN0s4Du/vw1nFjvpQZfXhpOfMvAb4=,2019-05-01 14:08:59.532 UTC,2019-05-01 14:09:07.046001 UTC,37.7909,-122.3993
Tn62BqGsg9OetxnydsYVZCDYvf43CzvLstSY6tBsy7Y=,2019-05-01 14:11:15.835 UTC,2019-05-01 14:16:41.242004 UTC,37.7824,-122.4008
D04dZJFQYR11z9J/11NkbObnB7r2Rpxn9mp8PSX4a/8=,2019-05-01 14:12:19.427 UTC,2019-05-01 14:20:33.685 UTC,37.7947,-122.3928
HllYK0M+DQMIp2vDCSFHwDT7CRlorj+JRC3XgNY5fgM=,2019-05-01 14:16:30.365 UTC,2019-05-01 14:42:24.984 UTC,37.7991,-122.4207
SmT0hR7ZZ/dqOCjOQa5JSKma5UH5oEt2pKRz8EWbsWI=,2019-05-01 14:16:44.977 UTC,2019-05-01 14:17:16.055 UTC,37.7983,-122.4269
ZM/IgdJ77fvsFuloVNYMFIpr4UPk1QKbg3qj7+CqOs0=,2019-05-01 14:22:50.172 UTC,2019-05-01 14:23:32.718 UTC,37.7874,-122.4179
G+191Fy6ViYzWULMIJ41tOrqQJaP7wTZfO42yUft+ow=,2019-05-01 14:24:09.333 UTC,2019-05-01 14:37:48.926 UTC,37.8035,-122.4453
mgcryKrH6N7Lnq5TGU2ngl6bT4SJllN9L4I2SU+sx68=,2019-05-01 14:26:23.153 UTC,2019-05-01 14:32:23.494 UTC,37.7837,-122.3989
N9r4ZQwKZXU+4wADvfXhd6J7QoE/BuWnqxFFHdzGwjg=,2019-05-01 14:27:01.105 UTC,2019-05-01 14:46:00.779 UTC,37.7808,-122.3913
pSS7vPmc0F5SYeEM9dga5lDo+vo5XIeNAqUjl0HJhs4=,2019-05-01 14:27:03.082 UTC,2019-05-01 14:27:14.204002 UTC,37.7569,-122.4745
I1q53BnxO052UV6XP/NK6QdetqaW2/c3hlreB1fBRM4=,2019-05-01 14:28:21.221 UTC,2019-05-01 14:31:14.200 UTC,37.3344,-121.8961
2SIP79U90tuL25TDcj/TXsGshZsHOg1Yo1mjj3sWp0s=,2019-05-01 14:29:18.879 UTC,2019-05-01 14:34:26.274003 UTC,37.7902,-122.3892
CnpdLWR0FCcvXdfsz2z4tq5usDNxqUHvOYrIMAM4+E4=,2019-05-01 14:30:36.643001 UTC,2019-05-01 14:42:45.122 UTC,37.8079,-122.4176
bdv2Zrh6Cak/9t6mO/5CnjMmkBd6RZpJy0D+DBslgNA=,2019-05-01 14:32:16.961 UTC,2019-05-01 14:36:24.761 UTC,37.7621,-122.4143
ubIcnGOU+idI7a8mYX3a1WapmGxHEPyhy8eBEBtW/Cs=,2019-05-01 14:33:09.628 UTC,2019-05-01 14:41:09.482 UTC,37.8051,-122.4103
BS51/B2echoEnM5r3MO+VfPv8xmJzr3rC85cvZIm+58=,2019-05-01 14:36:16.100 UTC,2019-05-01 14:56:53.050 UTC,37.7753,-122.4514
D9CiY+DiVjRu/+FTqBWnSLgIEnugQKDliJ9yLjsu5tE=,2019-05-01 14:36:29.925 UTC,2019-05-01 14:47:04.822 UTC,37.7993,-122.4475
SZlxflevXQX2ZbTlV2CEAn5LOE21bUCuy16uB+PoCuE=,2019-05-01 14:39:21.100 UTC,2019-05-01 14:46:14.136 UTC,37.7934,-122.3956
